dt,region,revenue
2008-01-01,A,1874.65457965948
2008-01-02,A,1886.5109565487
2008-01-03,A,1897.12391130856
2008-01-04,A,1904.69595554869
2008-01-05,A,1900.11954224997
2008-01-06,A,1890.22027242012
2008-01-07,A,1890.04427555993
2008-01-08,A,1897.32195245088
2008-01-09,A,1889.23707815713
2008-01-10,A,1890.22986676045
2008-01-11,A,1886.82494388373
2008-01-12,A,1908.36877452924
2008-01-13,A,1900.70555151357
2008-01-14,A,1886.30713010008
2008-01-15,A,1886.30662920371
2008-01-16,A,1897.37854838069
2008-01-17,A,1890.0781236653
2008-01-18,A,1875.64558148842
2008-01-19,A,1890.41146104258
2008-01-20,A,1881.66688146938
2008-01-21,A,1904.35863248277
2008-01-22,A,1896.35691277902
2008-01-23,A,1902.91539922615
2008-01-24,A,1878.95000626672
2008-01-25,A,1881.99817710823
2008-01-26,A,1883.73496684357
2008-01-27,A,1875.99316570449
2008-01-28,A,1878.93178515226
2008-01-29,A,1869.66359958288
2008-01-30,A,1859.16725367131
2008-01-31,A,1892.23241498267
2008-02-01,A,1890.88207829921
2008-02-02,A,1879.65971795825
2008-02-03,A,1887.21694240617
2008-02-04,A,1881.56594361885
2008-02-05,A,1892.52367364815
2008-02-06,A,1883.0771880983
2008-02-07,A,1895.53919200986
2008-02-08,A,1890.27045250505
2008-02-09,A,1894.60590272122
2008-02-10,A,1902.10273894725
2008-02-11,A,1903.70151576589
2008-02-12,A,1883.65833410330
2008-02-13,A,1885.40699397399
2008-02-14,A,1915.70618018485
2008-02-15,A,1894.09951487987
2008-02-16,A,1910.49912246826
2008-02-17,A,1891.47318128446
2008-02-18,A,1897.48128656984
2008-02-19,A,1910.66541408895
2008-02-20,A,1890.3844034838
2008-02-21,A,1889.96802939126
2008-02-22,A,1893.51475486084
2008-02-23,A,1878.80403577146
2008-02-24,A,1884.54047265605
2008-02-25,A,1895.10607448322
2008-02-26,A,1913.15988257073
2008-02-27,A,1893.28752246896
2008-02-28,A,1879.26175942551
2008-02-29,A,1904.48663761113
2008-03-01,A,1899.62598665757
2008-03-02,A,1883.28301570539
2008-03-03,A,1900.99561983973
2008-03-04,A,1904.24189283184
2008-03-05,A,1903.48531913742
2008-03-06,A,1901.32904828533
2008-03-07,A,1885.74276627717
2008-03-08,A,1864.84056967347
2008-03-09,A,1911.24970799684
2008-03-10,A,1899.61573885009
2008-03-11,A,1899.62852329379
2008-03-12,A,1884.00404242393
2008-03-13,A,1897.38904752750
2008-03-14,A,1891.18519909116
2008-03-15,A,1894.25639316537
2008-03-16,A,1878.06039278739
2008-03-17,A,1880.19261598424
2008-03-18,A,1892.97525004628
2008-03-19,A,1900.26502092062
2008-03-20,A,1893.93912205748
2008-03-21,A,1901.21324640706
2008-03-22,A,1895.45358010911
2008-03-23,A,1902.46222617774
2008-03-24,A,1913.39424271964
2008-03-25,A,1882.47835118145
2008-03-26,A,1893.41441636582
2008-03-27,A,1890.24435826797
2008-03-28,A,1887.01979485261
2008-03-29,A,1910.58219963863
2008-03-30,A,1890.19169540936
2008-03-31,A,1905.30126354373
2008-04-01,A,1904.53094121648
2008-04-02,A,1894.83699052416
2008-04-03,A,1887.23430103769
2008-04-04,A,1894.76611065877
2008-04-05,A,1904.4106091374
2008-04-06,A,1897.52469821103
2008-04-07,A,1890.80507217097
2008-04-08,A,1908.61824422847
2008-04-09,A,1905.39406485917
2008-04-10,A,1889.36664898143
2008-04-11,A,1907.65545503955
2008-04-12,A,1887.7725985333
2008-04-13,A,1905.69739045890
2008-04-14,A,1900.32208411258
2008-04-15,A,1911.34373278317
2008-04-16,A,1898.84169057892
2008-04-17,A,1908.46082463017
2008-04-18,A,1893.22798501938
2008-04-19,A,1894.65586777124
2008-04-20,A,1899.66232771516
2008-04-21,A,1897.71176038800
2008-04-22,A,1908.05465192876
2008-04-23,A,1912.95140303706
2008-04-24,A,1892.53772900299
2008-04-25,A,1904.99071727551
2008-04-26,A,1896.87253991368
2008-04-27,A,1885.53782186487
2008-04-28,A,1914.36092623357
2008-04-29,A,1889.58736435601
2008-04-30,A,1918.19038346585
2008-05-01,A,1882.63372258803
2008-05-02,A,1909.78307609556
2008-05-03,A,1904.44403830082
2008-05-04,A,1901.89882705836
2008-05-05,A,1912.76027765319
2008-05-06,A,1890.66299058973
2008-05-07,A,1897.55007281814
2008-05-08,A,1904.95975541285
2008-05-09,A,1920.80404438396
2008-05-10,A,1891.26891994531
2008-05-11,A,1894.88080282943
2008-05-12,A,1903.12042059087
2008-05-13,A,1886.76920177587
2008-05-14,A,1890.60278236431
2008-05-15,A,1905.55426158091
2008-05-16,A,1901.48575509628
2008-05-17,A,1884.54054891888
2008-05-18,A,1901.99524918365
2008-05-19,A,1910.07269420138
2008-05-20,A,1893.69899927049
2008-05-21,A,1894.19505147292
2008-05-22,A,1900.52984394651
2008-05-23,A,1907.01381911791
2008-05-24,A,1901.85017498716
2008-05-25,A,1885.58541312599
2008-05-26,A,1906.52245844082
2008-05-27,A,1919.25292219880
2008-05-28,A,1911.71308224305
2008-05-29,A,1901.39910013925
2008-05-30,A,1890.39317796728
2008-05-31,A,1913.72975371396
2008-06-01,A,1906.43012223566
2008-06-02,A,1907.79817867540
2008-06-03,A,1892.22705307932
2008-06-04,A,1894.98442404879
2008-06-05,A,1888.98815768233
2008-06-06,A,1904.28657235381
2008-06-07,A,1912.26548309527
2008-06-08,A,1900.83964344882
2008-06-09,A,1901.12459000125
2008-06-10,A,1894.51244113286
2008-06-11,A,1905.17104909182
2008-06-12,A,1895.93300323938
2008-06-13,A,1907.66566220082
2008-06-14,A,1903.80396282412
2008-06-15,A,1907.77508058256
2008-06-16,A,1912.41857393282
2008-06-17,A,1891.8746238503
2008-06-18,A,1878.02242413511
2008-06-19,A,1905.86521938417
2008-06-20,A,1894.38095571013
2008-06-21,A,1894.26515629099
2008-06-22,A,1896.83793032766
2008-06-23,A,1911.35379543267
2008-06-24,A,1897.28392167499
2008-06-25,A,1918.15199052014
2008-06-26,A,1909.78665919389
2008-06-27,A,1910.25152958141
2008-06-28,A,1922.03217175758
2008-06-29,A,1896.36888522513
2008-06-30,A,1901.60291674528
2008-07-01,A,1908.15572290858
2008-07-02,A,1906.37957180169
2008-07-03,A,1922.21493518987
2008-07-04,A,1907.34225935417
2008-07-05,A,1895.10942229980
2008-07-06,A,1912.47971902597
2008-07-07,A,1903.73249703153
2008-07-08,A,1894.47824792036
2008-07-09,A,1892.43012412229
2008-07-10,A,1915.67861500695
2008-07-11,A,1924.27929542276
2008-07-12,A,1919.57006789842
2008-07-13,A,1907.49786962079
2008-07-14,A,1910.58961884161
2008-07-15,A,1893.48302569417
2008-07-16,A,1912.40164319712
2008-07-17,A,1913.70874657414
2008-07-18,A,1911.63696425399
2008-07-19,A,1915.83980288003
2008-07-20,A,1897.34361656862
2008-07-21,A,1914.87678265889
2008-07-22,A,1898.30591641558
2008-07-23,A,1910.50449572418
2008-07-24,A,1907.43759333072
2008-07-25,A,1918.66069726135
2008-07-26,A,1909.81381930560
2008-07-27,A,1901.8895912653
2008-07-28,A,1914.75225722562
2008-07-29,A,1920.67093123648
2008-07-30,A,1913.193856468
2008-07-31,A,1910.16022438751
2008-08-01,A,1913.93236983277
2008-08-02,A,1896.38974016637
2008-08-03,A,1923.06028454346
2008-08-04,A,1905.52791988827
2008-08-05,A,1908.87118994370
2008-08-06,A,1900.66604681401
2008-08-07,A,1916.95965156851
2008-08-08,A,1903.41156883484
2008-08-09,A,1896.74387681327
2008-08-10,A,1910.98163294287
2008-08-11,A,1919.85764487124
